Q407166	Somatostatin	Q24778427	Somatostatin
Q408476	BCL2 associated X, apoptosis regulator	Q41797930	Blc2-like superfamily
Q408499	Lipase E, hormone sensitive type	Q24744945	Alpha/Beta hydrolase fold
Q408551	Sulfite oxidase	Q24778859	Eukaryotic molybdopterin oxidoreductase
Q408551	Sulfite oxidase	Q24780081	Immunoglobulin E-set
Q408551	Sulfite oxidase	Q41797488	Oxidoreductase, molybdopterin-binding domain superfamily
Q408551	Sulfite oxidase	Q41797515	Cytochrome b5-like heme/steroid binding domain superfamily
Q408572	Sigma non-opioid intracellular receptor 1	Q24776769	ERG2/sigma1 receptor-like
Q408572	Sigma non-opioid intracellular receptor 1	Q67141865	auxiliary transport protein
Q408575	Thromboxane A synthase 1	Q24741990	Cytochrome P450, E-class, group I
Q408575	Thromboxane A synthase 1	Q41797511	Cytochrome P450 superfamily
Q408712	Ferrochelatase	Q24770752	ferrochelatase
Q409065	Uroporphyrinogen decarboxylase	Q24769641	Uroporphyrinogen decarboxylase HemE
Q409065	Uroporphyrinogen decarboxylase	Q54460692	UROD/MetE-like superfamily
Q409106	Marker of proliferation Ki-67	Q24725444	SMAD/FHA domain superfamily
Q409114	Sex determining region Y	Q24777429	Transcription factor SRY
Q409114	Sex determining region Y	Q41798006	High mobility group box domain superfamily
Q409166	Coagulation factor II, thrombin	Q24740157	Prothrombin/thrombin
Q409166	Coagulation factor II, thrombin	Q24772965	Kringle-like fold
Q409166	Coagulation factor II, thrombin	Q24783967	Peptidase S1, PA clan
Q409166	Coagulation factor II, thrombin	Q41797121	Gamma-carboxyglutamic acid-rich (GLA) domain superfamily
Q409166	Coagulation factor II, thrombin	Q41798199	Thrombin light chain domain superfamily
Q409166	Coagulation factor II, thrombin	Q54460844	Kringle superfamily
Q409346	TNF superfamily member 13b	Q24783304	Tumour necrosis factor-like domain superfamily
Q409414	Hemopexin	Q24724192	Hemopexin
Q409414	Hemopexin	Q41797489	Hemopexin-like domain superfamily
Q409423	POU class 5 homeobox 1	Q24720326	POU domain-containing protein, class 5
Q409423	POU class 5 homeobox 1	Q24769639	Homeobox-like domain superfamily
Q409423	POU class 5 homeobox 1	Q24787704	Lambda repressor-like, DNA-binding domain superfamily
Q409450	Kallikrein related peptidase 3	Q24772777	Peptidase S1A, chymotrypsin family
Q409450	Kallikrein related peptidase 3	Q24783967	Peptidase S1, PA clan
Q409532	Sepiapterin reductase	Q24721674	Sepiapterin reductase
Q409532	Sepiapterin reductase	Q41797412	NAD(P)-binding domain superfamily
Q409646	Serpin family A member 7	Q24740080	Serpin family
Q409646	Serpin family A member 7	Q41797311	Serpin superfamily
Q409747	Elastin	Q7846255	Tropoelastin
Q409747	Elastin	Q14884606	elastin biosynthetic process
Q409747	Elastin	Q21097288	elastin metabolic process
Q409747	Elastin	Q21496244	elastin catabolic process
Q409867	Nuclear receptor subfamily 1 group I member 2	Q422500	Nuclear hormone receptor
Q409867	Nuclear receptor subfamily 1 group I member 2	Q24768526	Zinc finger, NHR/GATA-type
Q409867	Nuclear receptor subfamily 1 group I member 2	Q41796865	Nuclear hormone receptor-like domain superfamily
Q409867	Nuclear receptor subfamily 1 group I member 2	Q69534081	Putative uncharacterized transport proteins
Q409961	Leucine rich repeat kinase 2	Q24726164	Protein kinase-like domain superfamily
Q409961	Leucine rich repeat kinase 2	Q24726930	P-loop containing nucleoside triphosphate hydrolase
Q409961	Leucine rich repeat kinase 2	Q24739502	Armadillo-like helical
Q409961	Leucine rich repeat kinase 2	Q24780424	Armadillo-type fold
Q409961	Leucine rich repeat kinase 2	Q24781235	Leucine-rich repeat domain superfamily
Q409961	Leucine rich repeat kinase 2	Q24784804	WD40/YVTN repeat-like-containing domain superfamily
Q409961	Leucine rich repeat kinase 2	Q41797440	WD40-repeat-containing domain superfamily
Q409961	Leucine rich repeat kinase 2	Q41797869	Ankyrin repeat-containing domain superfamily
Q409970	Tryptophan 2,3-dioxygenase	Q24726737	Tryptophan 2,3-dioxygenase
Q409970	Tryptophan 2,3-dioxygenase	Q41798298	Tryptophan/Indoleamine 2,3-dioxygenase-like
Q409999	Frataxin	Q24776488	Frataxin
Q409999	Frataxin	Q41797628	Frataxin/CyaY superfamily
Q409999	Frataxin	Q69534081	Putative uncharacterized transport proteins
Q410015	Toll like receptor 2	Q24770128	Toll-like receptor 2
Q410015	Toll like receptor 2	Q24781235	Leucine-rich repeat domain superfamily
Q410015	Toll like receptor 2	Q41797047	Toll/interleukin-1 receptor homology (TIR) domain superfamily
Q410105	Phospholamban	Q24769155	Phospholamban
Q410105	Phospholamban	Q67598133	Phospholamban (Ca2+-channel and Ca2+-ATPase Regulator)
Q410130	Interleukin 2	Q24724363	Four-helical cytokine-like, core
Q410130	Interleukin 2	Q24724533	Interleukin-2
Q410137	Coagulation factor VIII	Q24727302	Coagulation factor 8
Q410137	Coagulation factor VIII	Q24772015	Cupredoxin
Q410137	Coagulation factor VIII	Q24780736	Galactose-binding-like domain superfamily
Q410142	Solute carrier family 6 member 4	Q24741977	Sodium:neurotransmitter symporter
Q410142	Solute carrier family 6 member 4	Q41798349	Sodium:neurotransmitter symporter superfamily
Q410153	Cobalamin binding intrinsic factor	Q24778997	Cobalamin (vitamin B12)-binding protein
Q410233	Neurofibromin 2	Q24722877	FERM/acyl-CoA-binding protein superfamily
Q410233	Neurofibromin 2	Q24724565	Ezrin/radixin/moesin
Q410233	Neurofibromin 2	Q24725964	Ubiquitin-like domain superfamily
Q410233	Neurofibromin 2	Q24771400	Moesin tail domain superfamily
Q410233	Neurofibromin 2	Q24786013	PH-like domain superfamily
Q24190	Neurotrophin 3	Q24742024	Neurotrophin-3
Q24190	Neurotrophin 3	Q24783539	Cystine-knot cytokine
Q27205	fibrin	Q7873	blood
Q29630	Myostatin	Q24744870	Growth/differentiation factor 8
Q29630	Myostatin	Q24783539	Cystine-knot cytokine
Q30530	Histidine ammonia-lyase	Q24725629	Histidine ammonia-lyase
Q30530	Histidine ammonia-lyase	Q24766872	Fumarase/histidase, N-terminal
Q30530	Histidine ammonia-lyase	Q24773030	L-Aspartase-like
Q63398	Chromogranin B	Q24770706	Chromogranin A/B
Q74314	Titin	Q24726164	Protein kinase-like domain superfamily
Q74314	Titin	Q24787648	Immunoglobulin-like fold
Q74314	Titin	Q41797245	Fibronectin type III superfamily
Q74314	Titin	Q41797304	Immunoglobulin-like domain superfamily
Q74581	Growth differentiation factor 15	Q24724932	Transforming growth factor-beta-related
Q74581	Growth differentiation factor 15	Q24783539	Cystine-knot cytokine
Q92594	Opsin 4	Q38173	G protein-coupled receptor
Q92594	Opsin 4	Q24785022	Opsin
Q94307	Thiopurine S-methyltransferase	Q24780258	S-adenosyl-L-methionine-dependent methyltransferase
Q94307	Thiopurine S-methyltransferase	Q24783436	Thiopurine S-methyltransferase
Q123045	Brain derived neurotrophic factor	Q24724261	Brain-derived neurotrophic factor
Q123045	Brain derived neurotrophic factor	Q24783539	Cystine-knot cytokine
Q128861	angiotensin I converting enzyme	Q5379024	Enkephalinase (human)
Q128861	angiotensin I converting enzyme	Q24777525	Peptidase M2, peptidyl-dipeptidase A
Q133582	Macrophage migration inhibitory factor	Q24719770	Tautomerase/MIF superfamily
Q133582	Macrophage migration inhibitory factor	Q24788002	Macrophage migration inhibitory factor
Q141591	ATM serine/threonine kinase	Q24726164	Protein kinase-like domain superfamily
Q141591	ATM serine/threonine kinase	Q24773792	Serine/threonine-protein kinase ATM
Q141591	ATM serine/threonine kinase	Q24780424	Armadillo-type fold
Q141591	ATM serine/threonine kinase	Q41798033	Phosphatidylinositol 3-/4-kinase, catalytic domain superfamily
Q151233	Hemojuvelin BMP co-receptor	Q24722170	Mog1/PsbP, alpha/beta/alpha sandwich
Q151233	Hemojuvelin BMP co-receptor	Q24766888	Hemojuvelin
Q155750	Aryl hydrocarbon receptor	Q24785734	Aryl hydrocarbon receptor
Q155750	Aryl hydrocarbon receptor	Q41797114	PAS domain superfamily
Q155750	Aryl hydrocarbon receptor	Q41797740	Helix-loop-helix DNA-binding domain superfamily
Q161537	1,4-alpha-glucan branching enzyme 1	Q375795	Glycoside hydrolase superfamily
Q161537	1,4-alpha-glucan branching enzyme 1	Q24780081	Immunoglobulin E-set
Q161537	1,4-alpha-glucan branching enzyme 1	Q24787648	Immunoglobulin-like fold
Q161537	1,4-alpha-glucan branching enzyme 1	Q43921452	1,4-alpha-glucan-branching enzyme
Q161537	1,4-alpha-glucan branching enzyme 1	Q54451255	Glycosyl hydrolase, all-beta
Q170617	glucagon	Q14821390	cellular response to glucagon stimulus
Q170617	glucagon	Q14904907	glucagon receptor activity
Q170617	glucagon	Q24772146	Glucagon
Q170617	glucagon	Q29573253	glucagon binding
Q170617	glucagon	Q45317352	Glucagon signaling in metabolic regulation
Q170617	glucagon	Q47008938	glucagon processing
Q170617	glucagon	Q50294394	Glucagon binds to Glucagon receptor
Q170617	glucagon	Q50296708	Acyl Ghrelin and C-Ghrelin are secreted
Q170617	glucagon	Q50298442	Liganded Gq-activating GPCRs bind inactive heterotrimeric Gq
Q170617	glucagon	Q50298443	Liganded Gq/11-activating GPCRs act as GEFs for Gq/11
Q170617	glucagon	Q50298444	The Ligand:GPCR:Gq complex dissociates
Q170617	glucagon	Q66310097	Glucagon
Q171604	Hydroxysteroid 11-beta dehydrogenase 1	Q24726117	Short-chain dehydrogenase/reductase SDR
Q171604	Hydroxysteroid 11-beta dehydrogenase 1	Q41797412	NAD(P)-binding domain superfamily
Q180583	PNMA family member 2	Q24777519	Paraneoplastic antigen Ma2
Q192191	Prolactin	Q24724363	Four-helical cytokine-like, core
Q192191	Prolactin	Q24776916	Somatotropin/prolactin
Q192642	Myoglobin	Q24774462	Globin-like superfamily
Q192642	Myoglobin	Q24783412	myoglobin
Q192642	Myoglobin	Q54450307	Globin/Protoglobin
Q192642	Myoglobin	Q67598228	Pore-forming Globin
Q412587	CD4 molecule	Q24766707	T-cell surface antigen CD4
Q412587	CD4 molecule	Q24787648	Immunoglobulin-like fold
Q412587	CD4 molecule	Q41797304	Immunoglobulin-like domain superfamily
Q412728	Lactoperoxidase	Q419305	peroxidases
Q412728	Lactoperoxidase	Q24773605	Haem peroxidase superfamily
Q412728	Lactoperoxidase	Q41798207	Haem peroxidase domain superfamily, animal type
Q412810	Protein C, inactivator of coagulation factors Va and VIIIa	Q24767977	Coagulation factor-like, Gla domain superfamily
Q412810	Protein C, inactivator of coagulation factors Va and VIIIa	Q24783967	Peptidase S1, PA clan
Q412810	Protein C, inactivator of coagulation factors Va and VIIIa	Q41796540	Peptidase S1A, coagulation factor VII/IX/X/C/Z
Q412810	Protein C, inactivator of coagulation factors Va and VIIIa	Q41797121	Gamma-carboxyglutamic acid-rich (GLA) domain superfamily
Q412841	Coagulation factor III, tissue factor	Q24780935	Tissue factor
Q412841	Coagulation factor III, tissue factor	Q24787648	Immunoglobulin-like fold
Q412841	Coagulation factor III, tissue factor	Q41797245	Fibronectin type III superfamily
Q412850	Coagulation factor VII	Q24767977	Coagulation factor-like, Gla domain superfamily
Q412850	Coagulation factor VII	Q24769381	Coagulation factor VII
Q412850	Coagulation factor VII	Q24783967	Peptidase S1, PA clan
Q412850	Coagulation factor VII	Q41797121	Gamma-carboxyglutamic acid-rich (GLA) domain superfamily
Q412889	Interleukin 6	Q24724363	Four-helical cytokine-like, core
Q412889	Interleukin 6	Q24724988	Interleukin-6
Q412902	ATP binding cassette subfamily B member 1	Q286958	ATP-binding cassette transporter
Q412902	ATP binding cassette subfamily B member 1	Q24726930	P-loop containing nucleoside triphosphate hydrolase
Q412902	ATP binding cassette subfamily B member 1	Q41796791	Multidrug resistance protein 1
Q412902	ATP binding cassette subfamily B member 1	Q41797742	ABC transporter type 1, transmembrane domain superfamily
Q413209	Transient receptor potential cation channel subfamily V member 1	Q304043	Transient receptor potential channel
Q413209	Transient receptor potential cation channel subfamily V member 1	Q24781365	Transient receptor potential cation channel subfamily V member 1
Q413209	Transient receptor potential cation channel subfamily V member 1	Q41797869	Ankyrin repeat-containing domain superfamily
Q413243	Cystatin C	Q24788025	Cystatin
Q413766	Fibronectin 1	Q24772965	Kringle-like fold
Q413766	Fibronectin 1	Q24787648	Immunoglobulin-like fold
Q413766	Fibronectin 1	Q41797245	Fibronectin type III superfamily
Q413766	Fibronectin 1	Q41798036	Fibronectin type II domain superfamily
Q413934	Acrosin	Q24740162	Peptidase S1A, acrosin
Q413934	Acrosin	Q24783967	Peptidase S1, PA clan
Q414050	Klotho	Q375795	Glycoside hydrolase superfamily
Q414050	Klotho	Q24778350	Klotho
Q414050	Klotho	Q67141865	auxiliary transport protein
Q414232	Membrane metalloendopeptidase	Q5379024	Enkephalinase (human)
Q414232	Membrane metalloendopeptidase	Q24724493	Neprilysin
Q414232	Membrane metalloendopeptidase	Q24778214	Metallopeptidase, catalytic domain superfamily
Q414401	Purine nucleoside phosphorylase	Q24720370	Purine nucleoside phosphorylase I, inosine/guanosine-specific
Q414401	Purine nucleoside phosphorylase	Q41797140	Nucleoside phosphorylase superfamily
Q414446	Thrombomodulin	Q24722567	Growth factor receptor cysteine-rich domain superfamily
Q414446	Thrombomodulin	Q24780167	Thrombomodulin
Q414446	Thrombomodulin	Q24781446	C-type lectin fold
Q414446	Thrombomodulin	Q24785714	C-type lectin-like/link domain superfamily
Q414964	vasoactive intestinal peptide	Q7444438	Glucagon/GIP/secretin/VIP
Q414964	vasoactive intestinal peptide	Q24739634	Vasoactive intestinal peptide
Q414964	vasoactive intestinal peptide	Q45318179	G alpha (s) signalling events
Q414964	vasoactive intestinal peptide	Q50298393	VIP receptors bind VIP
Q414964	vasoactive intestinal peptide	Q66499176	Vasoactive intestinal peptide
Q414992	Neuropeptide Y	Q24738675	Pancreatic hormone-like
Q415227	Hydroxymethylbilane synthase	Q24725195	Porphobilinogen deaminase
Q415227	Hydroxymethylbilane synthase	Q41797899	Porphobilinogen deaminase, C-terminal domain superfamily
Q415271	Erb-b2 receptor tyrosine kinase 2	Q24719584	Tyrosine protein kinase, EGF/ERB/XmrK receptor
Q415271	Erb-b2 receptor tyrosine kinase 2	Q24722567	Growth factor receptor cysteine-rich domain superfamily
Q415271	Erb-b2 receptor tyrosine kinase 2	Q24726164	Protein kinase-like domain superfamily
Q415271	Erb-b2 receptor tyrosine kinase 2	Q41798034	Receptor L-domain superfamily
Q415287	Cytochrome P450 family 19 subfamily A member 1	Q24741990	Cytochrome P450, E-class, group I
Q415287	Cytochrome P450 family 19 subfamily A member 1	Q41797511	Cytochrome P450 superfamily
Q415364	Prostaglandin-endoperoxide synthase 2	Q24773605	Haem peroxidase superfamily
Q415364	Prostaglandin-endoperoxide synthase 2	Q24775958	Prostaglandin G/H synthase 2
Q415364	Prostaglandin-endoperoxide synthase 2	Q41798207	Haem peroxidase domain superfamily, animal type
Q415443	Mannose binding lectin 2	Q24781446	C-type lectin fold
Q415443	Mannose binding lectin 2	Q24785714	C-type lectin-like/link domain superfamily
Q415443	Mannose binding lectin 2	Q43921643	Mannose-binding protein
Q415607	3-hydroxy-3-methylglutaryl-CoA reductase	Q24721304	Hydroxymethylglutaryl-CoA reductase, class I/II, NAD/NADP-binding domain superfamily
Q415607	3-hydroxy-3-methylglutaryl-CoA reductase	Q24722487	Hydroxymethylglutaryl-CoA reductase, N-terminal
Q415607	3-hydroxy-3-methylglutaryl-CoA reductase	Q24743765	Hydroxymethylglutaryl-CoA reductase, class I/II, catalytic domain superfamily
Q415607	3-hydroxy-3-methylglutaryl-CoA reductase	Q24768012	Hydroxymethylglutaryl-CoA reductase, metazoan
Q415607	3-hydroxy-3-methylglutaryl-CoA reductase	Q24781145	Hydroxymethylglutaryl-CoA reductase, class I/II, substrate-binding domain superfamily
Q415607	3-hydroxy-3-methylglutaryl-CoA reductase	Q69381087	Eukaryotic Sterol Transporter
Q415624	Perilipin 1	Q24768264	Perilipin
Q415718	C-X-C motif chemokine receptor 4	Q38173	G protein-coupled receptor
Q415718	C-X-C motif chemokine receptor 4	Q24779729	CXC chemokine receptor 4/atypical chemokine receptor 2
Q415762	Dopamine beta-hydroxylase	Q24719686	Copper type II, ascorbate-dependent monooxygenase-like, C-terminal
Q415762	Dopamine beta-hydroxylase	Q24777650	Tyramine beta-hydroxylase/Dopamine beta-hydroxylase
Q415762	Dopamine beta-hydroxylase	Q24782731	PHM/PNGase F domain superfamily
Q415762	Dopamine beta-hydroxylase	Q41798032	Copper type II, ascorbate-dependent monooxygenase, N-terminal domain superfamily
Q415976	Ret proto-oncogene	Q24726164	Protein kinase-like domain superfamily
Q415976	Ret proto-oncogene	Q24726312	Tyrosine-protein kinase, Ret receptor
Q415976	Ret proto-oncogene	Q24773738	Cadherin-like superfamily
Q416150	Thymidylate synthetase	Q24786423	Thymidylate synthase
Q416150	Thymidylate synthetase	Q41798021	Thymidylate synthase/dCMP hydroxymethylase superfamily
Q416227	Serpin family A member 6	Q2440935	Alpha globulin
Q416227	Serpin family A member 6	Q24740080	Serpin family
Q416227	Serpin family A member 6	Q41797311	Serpin superfamily
Q416259	Cyclin dependent kinase inhibitor 2A	Q41797869	Ankyrin repeat-containing domain superfamily
Q416268	Solute carrier family 2 member 1	Q3010561	Ketogenesis
Q416268	Solute carrier family 2 member 1	Q24722601	Glucose transporter, type 1
Q416336	Serpin family C member 1	Q24775482	Antithrombin-III
Q416336	Serpin family C member 1	Q41797311	Serpin superfamily
Q416345	Cryptochrome circadian regulator 1	Q907446	Rossmann fold
Q416345	Cryptochrome circadian regulator 1	Q41797263	Cryptochrome/DNA photolyase, FAD-binding domain-like superfamily
Q416345	Cryptochrome circadian regulator 1	Q41797283	Cryptochrome/photolyase, N-terminal domain superfamily
Q416351	Plasminogen activator, tissue type	Q24738954	Tissue plasminogen activator
Q416351	Plasminogen activator, tissue type	Q24772965	Kringle-like fold
Q416351	Plasminogen activator, tissue type	Q24783967	Peptidase S1, PA clan
Q416351	Plasminogen activator, tissue type	Q54460844	Kringle superfamily
Q416356	Phosphatase and tensin homolog	Q24741290	Bifunctional phosphatidylinositol trisphosphate phosphatase/dual specificity phosphatase PTEN
Q416356	Phosphatase and tensin homolog	Q24743680	Protein-tyrosine phosphatase-like
Q410233	Neurofibromin 2	Q41797112	FERM superfamily, second domain
Q410246	Lactotransferrin	Q24787652	Lactotransferrin
Q410434	Raf-1 proto-oncogene, serine/threonine kinase	Q24725964	Ubiquitin-like domain superfamily
Q410434	Raf-1 proto-oncogene, serine/threonine kinase	Q24726164	Protein kinase-like domain superfamily
Q410444	Coproporphyrinogen oxidase	Q24768974	Coproporphyrinogen III oxidase, aerobic
Q410444	Coproporphyrinogen oxidase	Q41797519	Oxygen-dependent coproporphyrinogen III oxidase superfamily
Q410473	Transferrin	Q24766969	Serotransferrin, mammalian
Q410485	Serpin family E member 1	Q24740080	Serpin family
Q410485	Serpin family E member 1	Q41797311	Serpin superfamily
Q410784	Melanocortin 2 receptor	Q38173	G protein-coupled receptor
Q410784	Melanocortin 2 receptor	Q24773832	Adrenocorticotrophin (ACTH) receptor
Q410798	Phosphodiesterase 5A	Q24772781	3'5'-cyclic nucleotide phosphodiesterase
Q410798	Phosphodiesterase 5A	Q24784594	GAF-like domain superfamily
Q410798	Phosphodiesterase 5A	Q41798063	3'5'-cyclic nucleotide phosphodiesterase, catalytic domain superfamily
Q410833	Lanosterol synthase	Q24778143	Squalene cyclase
Q410833	Lanosterol synthase	Q24778163	Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid
Q410974	Myelin basic protein	Q14876140	MBP
Q411008	Methylmalonyl-CoA mutase	Q24775277	Cobalamin (vitamin B12)-dependent enzyme, catalytic
Q411008	Methylmalonyl-CoA mutase	Q41797824	Cobalamin-binding domain superfamily
Q411149	DNA nucleotidylexotransferase	Q24778329	DNA nucleotidylexotransferase (TdT)
Q411149	DNA nucleotidylexotransferase	Q41796746	DNA polymerase lambda lyase domain superfamily
Q411149	DNA nucleotidylexotransferase	Q41797533	BRCT domain superfamily
Q411149	DNA nucleotidylexotransferase	Q41798246	DNA polymerase, thumb domain superfamily
Q411181	Cathelicidin antimicrobial peptide	Q24739493	CAMP
Q411181	Cathelicidin antimicrobial peptide	Q50292348	PRTN3 cleaves CAMP(31-170) to generate CAMP(134-170)
Q411507	Cytochrome P450, family 21, subfamily A, polypeptide 2	Q24741990	Cytochrome P450, E-class, group I
Q411507	Cytochrome P450, family 21, subfamily A, polypeptide 2	Q41797511	Cytochrome P450 superfamily
Q411529	Interleukin 1 beta	Q24738677	Cytokine IL1/FGF
Q411529	Interleukin 1 beta	Q24776617	Interleukin-1 beta
Q411529	Interleukin 1 beta	Q67598232	Interleukin 1
Q411541	Phenylethanolamine N-methyltransferase	Q24780258	S-adenosyl-L-methionine-dependent methyltransferase
Q411541	Phenylethanolamine N-methyltransferase	Q24781926	Methyltransferase, NNMT/PNMT/TEMT
Q411624	Vimentin	Q24725432	Vimentin
Q411791	Arachidonate 5-lipoxygenase	Q24771116	Lipoxygenase, mammalian
Q411791	Arachidonate 5-lipoxygenase	Q41797349	Lipoxigenase, C-terminal domain superfamily
Q411791	Arachidonate 5-lipoxygenase	Q41797507	PLAT/LH2 domain superfamily
Q411978	Thromboxane A2 receptor	Q24720053	Thromboxane receptor
Q411994	Secreted phosphoprotein 1	Q24771226	Osteopontin
Q411999	C-X-C motif chemokine ligand 9	Q24776270	CXC chemokine 9
Q411999	C-X-C motif chemokine ligand 9	Q41797185	Chemokine interleukin-8-like superfamily
Q412214	Dipeptidyl peptidase 4	Q24744945	Alpha/Beta hydrolase fold
Q412214	Dipeptidyl peptidase 4	Q54461442	Dipeptidylpeptidase IV, N-terminal domain superfamily
Q412228	Thyroglobulin	Q24744945	Alpha/Beta hydrolase fold
Q412228	Thyroglobulin	Q24768212	Thyroglobulin
Q412228	Thyroglobulin	Q41797953	Thyroglobulin type-1 superfamily
Q412285	Dystrophin	Q24742069	EF-hand domain pair
Q412285	Dystrophin	Q24768156	Dystrophin
Q412285	Dystrophin	Q41797163	WW domain superfamily
Q412285	Dystrophin	Q41797968	CH domain superfamily
Q412285	Dystrophin	Q67141865	auxiliary transport protein
Q412310	Von Willebrand factor	Q41797218	Serine protease inhibitor-like superfamily
Q412310	Von Willebrand factor	Q41797571	von Willebrand factor A-like domain superfamily
Q412310	Von Willebrand factor	Q43921650	Von Willebrand factor-related
Q412483	Cytochrome P450 family 11 subfamily A member 1	Q24723730	Cholesterol side-chain cleavage enzyme, mitochondrial
Q412483	Cytochrome P450 family 11 subfamily A member 1	Q41797511	Cytochrome P450 superfamily
Q419973	Solute carrier family 2 member 4	Q24768727	Glucose transporter, type 4
Q419983	Hepcidin antimicrobial peptide	Q24741819	Hepcidin
Q419983	Hepcidin antimicrobial peptide	Q67141865	auxiliary transport protein
Q419999	Transthyretin	Q24726407	Transthyretin
Q419999	Transthyretin	Q41797913	Transthyretin/hydroxyisourate hydrolase domain superfamily
Q420012	Myeloperoxidase	Q24724134	Myeloperoxidase
Q420012	Myeloperoxidase	Q24773605	Haem peroxidase superfamily
Q420012	Myeloperoxidase	Q41798207	Haem peroxidase domain superfamily, animal type
Q420014	Lipoprotein lipase	Q24744945	Alpha/Beta hydrolase fold
Q420014	Lipoprotein lipase	Q24774730	Lipoprotein lipase
Q420014	Lipoprotein lipase	Q41797507	PLAT/LH2 domain superfamily
Q420024	Uromodulin	Q24722567	Growth factor receptor cysteine-rich domain superfamily
Q420038	Glucosylceramidase beta	Q375795	Glycoside hydrolase superfamily
Q420038	Glucosylceramidase beta	Q24775498	Glycoside hydrolase family 30
Q420038	Glucosylceramidase beta	Q54451255	Glycosyl hydrolase, all-beta
Q420267	MYC proto-oncogene, bHLH transcription factor	Q24787581	Transcription regulator Myc
Q420267	MYC proto-oncogene, bHLH transcription factor	Q41797740	Helix-loop-helix DNA-binding domain superfamily
Q420470	Cystic fibrosis transmembrane conductance regulator	Q24726930	P-loop containing nucleoside triphosphate hydrolase
Q420470	Cystic fibrosis transmembrane conductance regulator	Q24745449	Q24745449
Q420470	Cystic fibrosis transmembrane conductance regulator	Q41797742	ABC transporter type 1, transmembrane domain superfamily
Q420522	Nanog homeobox	Q24769639	Homeobox-like domain superfamily
Q420604	Phenylalanine hydroxylase	Q24741360	Phenylalanine-4-hydroxylase, tetrameric form
Q420604	Phenylalanine hydroxylase	Q41797447	Aromatic amino acid monoxygenase, C-terminal domain superfamily
Q420604	Phenylalanine hydroxylase	Q41798043	Aromatic amino acid hydroxylase superfamily
Q420678	Ornithine carbamoyltransferase	Q24740345	Ornithine/putrescine carbamoyltransferase
Q420678	Ornithine carbamoyltransferase	Q41797997	Aspartate/ornithine carbamoyltransferase superfamily
Q420766	Tyrosine hydroxylase	Q24780606	Tyrosine 3-monooxygenase
Q420766	Tyrosine hydroxylase	Q41797447	Aromatic amino acid monoxygenase, C-terminal domain superfamily
Q420766	Tyrosine hydroxylase	Q41798043	Aromatic amino acid hydroxylase superfamily
Q420930	Glutathione-disulfide reductase	Q24771299	Glutathione reductase, eukaryote/bacterial
Q420930	Glutathione-disulfide reductase	Q24779613	FAD/NAD-linked reductase, dimerisation domain superfamily
Q420930	Glutathione-disulfide reductase	Q41797313	FAD/NAD(P)-binding domain superfamily
Q421219	Thioredoxin	Q24777689	thioredoxins
Q421219	Thioredoxin	Q41797370	Thioredoxin-like superfamily
Q421491	Galactosylceramidase	Q375795	Glycoside hydrolase superfamily
Q421491	Galactosylceramidase	Q4994304	TIM barrel
Q421491	Galactosylceramidase	Q24722944	Glycoside hydrolase, family 59
Q421651	BRCA2 DNA repair associated	Q24725755	Breast cancer type 2 susceptibility protein
